observation_index,frame_id,source_time,car_id,normalized_text,ocr_confidence,F_accept,A_accept,G_accept
0,1,0.03918495297805643,3,,0.7000263333320618,False,False,False
1,2,0.07836990595611286,3,,0.8253167867660522,False,False,False
2,3,0.11755485893416928,3,IBE-567,0.9348399043083191,True,True,True
3,4,0.15673981191222572,3,AUBE-567,0.9723860025405884,True,True,True
4,5,0.19592476489028213,3,AUBE-567,0.9884746074676514,True,True,True
5,6,0.23510971786833856,3,AUBE-567,0.9907060265541077,True,True,True
6,7,0.274294670846395,3,AUBE-567,0.9220932722091675,True,True,True
7,8,0.31347962382445144,3,AUBE-567,0.9905823469161987,True,True,True
8,9,0.35266457680250785,3,AUBE-567,0.9199793338775635,True,True,True
9,10,0.39184952978056425,3,AUBE-567,0.9957441091537476,True,True,True
10,11,0.43103448275862066,3,AUBE-567,0.9341211318969727,True,True,True
11,12,0.4702194357366771,3,AUBE-567,0.993820309638977,True,True,True
12,111,4.349529780564263,1,RCS-889,0.8741801977157593,True,True,True
13,112,4.38871473354232,1,PCS-889,0.8962644338607788,True,True,True
14,113,4.427899686520377,1,PCS-889,0.8705693483352661,True,True,True
15,114,4.467084639498433,1,PCS-889,0.8759986162185669,True,True,True
16,115,4.506269592476489,1,PCS-889,0.9274052381515503,True,True,True
17,116,4.545454545454546,1,PCS-889,0.9880744218826294,True,True,True
18,117,4.584639498432602,1,,0.8532173037528992,False,False,False
19,120,4.702194357366771,15,PCS-889,0.9836946725845337,True,True,True
20,121,4.741379310344827,15,PCS-889,0.9825043678283691,True,True,True
21,167,6.543887147335423,20,,0.48903903365135193,False,False,False
22,168,6.58307210031348,20,,0.4273533523082733,False,False,False
23,169,6.622257053291536,20,,0.7779528498649597,False,False,False
24,170,6.661442006269592,20,,0.9652382731437683,False,False,False
25,170,6.661442006269592,20,,0.5400349497795105,False,False,False
26,171,6.700626959247649,20,,0.991581916809082,False,False,False
27,172,6.739811912225705,18,,0.9099614024162292,False,False,False
28,173,6.778996865203761,18,NHP-726,0.8968433141708374,True,True,True
29,174,6.818181818181818,18,,0.6645762324333191,False,False,False
30,176,6.896551724137931,23,,0.8483001589775085,False,False,False
31,312,12.225705329153605,21,,0.860470712184906,False,False,False
32,313,12.264890282131661,21,,0.9538336992263794,False,False,False
33,314,12.304075235109718,21,,0.9453729391098022,False,False,False
34,315,12.343260188087774,21,,0.9482986330986023,False,False,False
35,316,12.382445141065832,21,,0.9494770169258118,False,False,False
36,317,12.421630094043888,21,,0.892451286315918,False,False,False
37,318,12.460815047021944,21,AKT-740,0.8018274903297424,True,True,True
38,319,12.5,21,,0.872551679611206,False,False,False
39,320,12.539184952978056,21,,0.8995454907417297,False,False,False
40,321,12.578369905956112,21,,0.747768223285675,False,False,False
41,322,12.617554858934168,21,,0.6485234498977661,False,False,False
42,323,12.656739811912226,21,AAT-740,0.680580198764801,True,False,True
43,324,12.695924764890282,21,,0.7716242074966431,False,False,False
44,328,12.852664576802507,21,AAKI-740,0.8854302167892456,True,True,True
45,329,12.891849529780565,21,AAKT-740,0.9233211278915405,True,True,True
46,330,12.931034482758621,21,AAKT-740,0.876259446144104,True,True,True
47,331,12.970219435736677,21,AAKT-740,0.9061468839645386,True,True,True
48,332,13.009404388714733,21,AAK-740,0.9902129173278809,True,True,True
49,333,13.04858934169279,21,AAK-740,0.9446122050285339,True,True,True
50,334,13.087774294670846,21,AAKT-740,0.9532047510147095,True,True,True
51,335,13.126959247648903,21,AAK-740,0.9825276136398315,True,True,True
52,336,13.16614420062696,21,AAKT-740,0.9453492760658264,True,True,True
53,337,13.205329153605016,21,AAKT-740,0.9465416073799133,True,True,True
54,338,13.244514106583072,21,AAKT-740,0.9700267314910889,True,True,True
55,339,13.283699059561128,21,,0.8961596488952637,False,False,False
56,340,13.322884012539184,21,AAKT-740,0.8841143250465393,True,True,True
57,341,13.362068965517242,21,AAKT-740,0.9112309217453003,True,True,True
58,343,13.440438871473354,21,AAKT-740,0.9852507710456848,True,True,True
59,344,13.47962382445141,21,AAKT-740,0.9372016787528992,True,True,True
60,345,13.518808777429467,21,AAKT-740,0.9615505933761597,True,True,True
61,346,13.557993730407523,21,AAKT-740,0.8853812217712402,True,True,True
62,347,13.59717868338558,21,AAKI-741,0.8453030586242676,True,True,True
63,353,13.83228840125392,50,,0.7789479494094849,False,False,False
64,354,13.871473354231975,50,,0.9654860496520996,False,False,False
65,355,13.910658307210031,50,AAKT-740,0.9101207852363586,True,True,True
66,356,13.949843260188088,50,AAKT-740,0.9581488370895386,True,True,True
67,357,13.989028213166144,50,AAKI-740,0.9632722735404968,True,True,True
68,358,14.0282131661442,50,AAKI-740,0.8908513784408569,True,True,True
69,359,14.067398119122258,50,AAKI-740,0.8989681601524353,True,True,True
70,360,14.106583072100314,50,AAKI-748,0.8220517635345459,True,True,True
71,361,14.14576802507837,50,AAKI-748,0.8651920557022095,True,True,True
72,362,14.184952978056426,50,AAKT-740,0.9289613962173462,True,True,True
73,363,14.224137931034482,50,AAKT-740,0.8960733413696289,True,True,True
74,364,14.263322884012538,50,AAKI-740,0.9245930910110474,True,True,True
75,365,14.302507836990596,50,AAKI-740,0.8755557537078857,True,True,True
76,366,14.341692789968652,50,,0.8086636066436768,False,False,False
77,367,14.380877742946709,50,AXI-774,0.5767510533332825,True,False,True
78,394,15.438871473354231,12,MIEV-508,0.6076387166976929,True,False,False
79,394,15.438871473354231,12,,0.6794850826263428,False,False,False
80,395,15.478056426332289,12,MHEI-508,0.6048576831817627,True,False,False
81,396,15.517241379310345,12,AHI-852,0.5918559432029724,True,False,False
82,398,15.595611285266457,12,AMEY-508,0.7313454151153564,True,False,False
83,399,15.634796238244514,12,,0.6632888317108154,False,False,False
84,400,15.67398119122257,12,,0.6523058414459229,False,False,False
85,401,15.713166144200628,12,AMEI-508,0.662119448184967,True,False,False
86,402,15.752351097178684,12,RIEV-508,0.8156673908233643,True,True,True
87,403,15.79153605015674,12,,0.5838015079498291,False,False,False
88,404,15.830721003134796,12,AAEV-606,0.6863793134689331,True,False,False
89,405,15.869905956112852,12,AEV-502,0.6969054937362671,True,False,False
90,406,15.909090909090908,12,AHEV-508,0.737860918045044,True,False,False
91,407,15.948275862068966,12,IEV-508,0.8711764216423035,True,True,True
92,408,15.987460815047022,12,IEV-508,0.6930080056190491,True,False,False
93,409,16.026645768025077,12,,0.5712430477142334,False,False,False
94,410,16.065830721003135,12,TEI-502,0.7514845728874207,True,False,False
95,411,16.105015673981192,12,TREV-508,0.729133129119873,True,False,False
96,417,16.34012539184953,12,HEI-508,0.8055177330970764,True,True,True
97,418,16.379310344827587,12,HEY-608,0.7158721089363098,True,False,False
98,419,16.41849529780564,12,HEY-608,0.6409141421318054,True,False,False
99,420,16.4576802507837,12,HEY-508,0.8313116431236267,True,True,True
100,421,16.496865203761754,12,MHEI-508,0.7433881759643555,True,False,False
101,422,16.53605015673981,12,AEY-606,0.6001181602478027,True,False,False
102,423,16.57523510971787,12,,0.703661322593689,False,False,False
103,424,16.614420062695924,12,EHEI-608,0.7955094575881958,True,False,False
104,425,16.653605015673982,12,TMEI-962,0.6723149418830872,True,False,False
105,426,16.692789968652036,12,TEI-552,0.7846868634223938,True,False,False
106,436,17.0846394984326,48,,0.624809741973877,False,False,False
107,437,17.12382445141066,48,,0.6742966771125793,False,False,False
108,438,17.163009404388713,48,,0.6612095236778259,False,False,False
109,444,17.398119122257054,48,AIG-881,0.5557437539100647,True,False,False
110,445,17.437304075235108,48,,0.45935699343681335,False,False,False
111,446,17.476489028213166,65,SIH-181,0.5584068298339844,True,False,False
112,447,17.515673981191224,65,,0.6595999002456665,False,False,False
113,448,17.55485893416928,65,,0.6360051035881042,False,False,False
114,450,17.63322884012539,65,,0.7647804021835327,False,False,False
115,451,17.67241379310345,65,,0.5268175601959229,False,False,False
116,452,17.711598746081506,65,,0.6554551720619202,False,False,False
117,453,17.75078369905956,65,,0.5358562469482422,False,False,False
118,454,17.78996865203762,65,,0.528791069984436,False,False,False
119,455,17.829153605015673,65,,0.5388661026954651,False,False,False
120,456,17.86833855799373,65,,0.38374224305152893,False,False,False
121,457,17.907523510971785,65,,0.674067497253418,False,False,False
122,458,17.946708463949843,65,,0.582290768623352,False,False,False
123,459,17.9858934169279,65,ALEH-908,0.4178239703178406,True,False,False
124,460,18.025078369905955,65,,0.5948266983032227,False,False,False
125,461,18.064263322884013,65,,0.5435704588890076,False,False,False
126,462,18.103448275862068,65,,0.7336154580116272,False,False,False
127,463,18.142633228840126,65,LLI-887,0.6051806807518005,True,False,False
128,464,18.181818181818183,65,LFEH-881,0.6100593209266663,True,False,False
129,465,18.221003134796238,65,LVM-181,0.4747057557106018,True,False,False
130,466,18.260188087774296,65,,0.5582278966903687,False,False,False
131,467,18.29937304075235,65,,0.6103144884109497,False,False,False
132,468,18.338557993730408,65,,0.7651247978210449,False,False,False
133,469,18.377742946708462,65,LHM-181,0.6308687329292297,True,False,False
134,470,18.41692789968652,65,,0.6806550621986389,False,False,False
135,471,18.456112852664578,65,,0.6297678351402283,False,False,False
136,472,18.495297805642632,65,LEM-127,0.5943625569343567,True,False,False
137,480,18.808777429467085,64,,0.7117506861686707,False,False,False
138,481,18.84796238244514,64,,0.7739870548248291,False,False,False
