scheduled_time,first_source_frame,actual_source_time,proposal,previous,applied,step
0.0,0,0.0,0.3,0.3,0.3,0.0
5.0,128,5.015673981191223,0.3,0.3,0.3,0.0
10.0,256,10.031347962382446,0.8,0.3,0.5,0.2
15.0,383,15.007836990595612,0.8,0.5,0.8,0.3
20.0,511,20.023510971786834,0.3,0.8,0.5,0.3
25.0,638,25.0,0.3,0.5,0.3,0.2
