controller_a,controller_b,n_paired_samples,delta_plate_accuracy,delta_plate_accuracy_ci95_low,delta_plate_accuracy_ci95_high,delta_char_accuracy,delta_char_accuracy_ci95_low,delta_char_accuracy_ci95_high
B3,B0,255,0.00784313725490196,0.0,0.0196078431372549,0.0039215686274509795,0.000653594771241829,0.007843137254901959
B3,B1,255,0.00784313725490196,0.0,0.0196078431372549,0.0008870214752567688,-0.001400560224089637,0.003548085901027076
B3,B2,255,0.0,0.0,0.0,0.0,0.0,0.0
B3,B3-I,255,0.00784313725490196,0.0,0.0196078431372549,0.0008870214752567688,-0.001400560224089637,0.0036414565826330524
B3,B3-R0,255,0.0,0.0,0.0,0.0,0.0,0.0
